SupplierID,SupplierName,Country,Region,Category,ContractPerson,Email,PhoneNumber,ContractStartDate,ContractEndDate
1,Supplier_1,,South,Equipment,Contact_1,contact1@supplier.com,+420123450001,2022-01-01,2023-08-04
2,Supplier_2,usa,north,,Contact_2,contact2@supplier.com,+420123450002,2022-01-16,2025-01-29
3,Supplier_3,,East,,Contact_3,contact3@supplier.com,+420123450003,2022-01-31,2024-09-23
4,Supplier_4,India,South,Pharma,Contact_4,contact4@supplier.com,+420123450004,2022-02-15,2025-05-13
5,Supplier_5,Czechia,South,Equipment,Contact_5,contact5@supplier.com,+420123450005,2022-03-02,2026-02-02
6,Supplier_6,India,West,Medical,Contact_6,contact6@supplier.com,+420123450006,2022-03-17,2024-11-10
7,Supplier_7,,north,Pharma,,,+420123450007,2022-04-01,2024-03-05
8,Supplier_8,Germany,,nan,Contact_8,contact8@supplier.com,+420123450008,2022-04-16,2024-03-18
9,Supplier_9,China,South,,Contact_9,,+420123450009,2022-05-01,2026-01-24
10,Supplier_10,India,North,Medical,Contact_10,contact10@supplier.com,+420123450010,2022-05-16,2024-06-02
11,Supplier_11,China,North,Pharma,Contact_11,contact11@supplier.com,,2022-05-31,2026-07-06
12,Supplier_12,Germany,West,Pharma,Contact_12,,+420123450012,2022-06-15,2025-01-08
13,Supplier_13,,South,Medical,Contact_13,contact13@supplier.com,+420123450013,2022-06-30,2026-04-08
14,Supplier_14,Germany,nan,Pharma,,,+420123450014,2022-07-15,2024-03-18
15,Supplier_15,USA,West,Medical,Contact_15,contact15@supplier.com,+420123450015,2022-07-30,2026-06-02
16,Supplier_16,Germany,West,Pharma,Contact_16,contact16@supplier.com,+420123450016,2022-08-14,2025-11-21
17,Supplier_17,,West,Medical,Contact_17,contact17@supplier.com,+420123450017,2022-08-29,2026-03-10
18,Supplier_18,nan,,nan,Contact_18,,+420123450018,2022-09-13,2025-06-03
19,Supplier_19,Germany,South,Pharma,Contact_19,contact19@supplier.com,+420123450019,2022-09-28,2025-05-12
20,Supplier_20,USA,South,Equipment,Contact_20,contact20@supplier.com,+420123450020,2022-10-13,2025-11-03
21,Supplier_21,,East,nan,,contact21@supplier.com,+420123450021,2022-10-28,2024-06-22
22,Supplier_22,USA,West,Equipment,Contact_22,contact22@supplier.com,,2022-11-12,2024-04-03
23,Supplier_23,nan,West,Equipment,Contact_23,contact23@supplier.com,+420123450023,2022-11-27,2025-03-05
24,Supplier_24,Germany,West,nan,Contact_24,,+420123450024,2022-12-12,2025-09-11
25,Supplier_25,China,West,Pharma,Contact_25,,+420123450025,2022-12-27,2025-05-04
26,Supplier_26,,North,Medical,Contact_26,contact26@supplier.com,+420123450026,2023-01-11,2026-10-13
27,Supplier_27,usa,nan,Equipment,Contact_27,,+420123450027,2023-01-26,2026-02-15
28,Supplier_28,Czechia,nan,Medical,,contact28@supplier.com,,2023-02-10,2026-07-14
